Disease,Symptoms
Knee pain,"The location and severity of knee pain may vary, depending on the cause of the problem. Signs and symptoms that sometimes accompany knee pain include: Swelling and stiffness Redness and warmth to the touch Weakness or instability Popping or crunching noises Inability to fully straighten the knee When to see a doctor Call your doctor if you: Can't bear weight on your knee or feel as if your knee is unstable or gives out Have marked knee swelling Are unable to fully extend or flex your knee See an obvious deformity in your leg or knee Have a fever, in addition to redness, pain and swelling in your knee Have severe knee pain that is associated with an injury Request an appointment There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. From Mayo Clinic to your inbox Sign up for free and stay up to date on research advancements, health tips, current health topics, and expertise on managing health. Click here for an email preview. Email Address 1 Error Email field is required Error Include a valid email address Learn more about Mayo Clinic’s use of data. We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email. Subscribe! Thank you for subscribing! You'll soon start receiving the latest Mayo Clinic health information you requested in your inbox. Sorry something went wrong with your subscription Please, try again in a couple of minutes Retry"
Waldenstrom macroglobulinemia,"Waldenstrom macroglobulinemia grows slowly. It might not cause symptoms for years. When they happen, Waldenstrom macroglobulinemia symptoms may include: Fatigue. Fever. Weight loss. Night sweats. Numbness in the hands or feet. Swollen lymph nodes. A feeling of pain or fullness under the ribs on your left side, which may be caused by an enlarged spleen. Easy bruising. Bleeding nose or gums. Headache. Shortness of breath. Changes in vision. Confusion. When to see a doctor Make an appointment with your primary care provider if you have ongoing symptoms that worry you. Request an appointment There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. Get Mayo Clinic cancer expertise delivered to your inbox. Subscribe for free and receive an in-depth guide to coping
                            with cancer, plus helpful information on how to get a second opinion. You can unsubscribe at any
                            time. Click here for an email preview. Email address I would like to learn more about Up-to-date cancer news & research Mayo Clinic cancer care & management
                                    options Error Select
                                    a topic Error Email field is required Error Include a valid email address Address 1 Subscribe Learn more about Mayo Clinic’s use of data. We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email. Thank you for subscribing Your in-depth coping with cancer guide will be in your inbox shortly. You will also
                                receive emails from Mayo Clinic on the latest about cancer news, research, and care. If you don’t receive our email within 5 minutes, check your SPAM folder, then contact us
                                at newsletters@mayoclinic.com . Sorry something went wrong with your subscription Please, try again in a couple of minutes Retry"
Nearsightedness,"Nearsightedness symptoms may include: Blurry vision when looking at distant objects. The need to squint or partially close the eyelids to see clearly. Headaches. Eyestrain. School-age children may have difficulty seeing things on whiteboards or screen projections in the classroom. Younger children might not express difficulty seeing, but they may have the following behaviors that suggest difficulty seeing: Constant squinting. Seeming to not be aware of distant objects. Blinking often. Rubbing the eyes often. Sitting close to the television or moving screens closer to the face. Adults with nearsightedness may notice difficulty reading street signs or signs in stores. Some people may experience blurry vision in dim light, as with nighttime driving, even if they see clearly in daylight. This condition is called night myopia. When to see a doctor Make an appointment with an eye care specialist if your child shows any signs of vision problems or if a teacher reports possible problems. Make an appointment for yourself if you notice a change in your vision, have difficulty performing tasks such as driving or find that the quality of your vision affects your enjoyment of activities. Seek emergency medical care if you experience any of the following: Sudden appearance of many floaters — tiny specks or lines that seem to drift through your field of vision. Flashes of light in one or both eyes. A curtain-like gray shadow covering all or part of your field of vision. A shadow in your outer or side vision, known as peripheral vision. These are warnings signs of the retina becoming detached from the back of the eye. This condition is a medical emergency requiring prompt treatment. Significant nearsightedness is associated with an increased risk of retinal detachment. Regular eye exams Both children and adults may not be aware of problems with vision or changes that happen gradually. The American Academy of Ophthalmology recommends regular vision screenings to ensure timely diagnosis and treatment. Children and adolescents Your child's pediatrician or other healthcare professional does relatively simple exams to check the health of your child's eyes at birth, between 6 and 12 months of age, and between 12 and 36 months of age. If there are any problems, you may be referred to a doctor specializing in eye health and care, called an ophthalmologist. Vision screenings are tests to check for vision problems. A screening test may be done by a pediatrician, an ophthalmologist, an optometrist or another trained provider. Vision screenings are often offered at schools or community centers. The recommended times for screening are as follows: At least once between ages 3 and 5. Before kindergarten, usually age 5 or 6. Annually through the end of high school. If a problem is found in a screening test, you'll likely need to schedule a complete eye exam with an optometrist or ophthalmologist. Adults The American Academy of Ophthalmology recommends that healthy adults with no known problems with vision or eye disease should get a complete eye exam on the following schedule: At least once between ages 20 and 29. At least twice between ages 30 and 39. Every 2 to 4 years from ages 40 to 54. Every 1 to 3 years from ages 55 to 64. Every 1 to 2 years after age 65. If you have diabetes, a family history of eye disease, high blood pressure, or other risks of heart or vascular disease, you'll likely need more-regular eye exams. Also, you'll likely need more-regular exams if you already have prescription glasses or contacts or if you've had surgery for vision correction. Your healthcare professional or eye care specialist can recommend how often to get an exam. Request an appointment"
Norovirus infection,
Osteoporosis,"There typically are no symptoms in the early stages of bone loss. But once your bones have been weakened by osteoporosis, you might have signs and symptoms that include: Back pain, caused by a broken or collapsed bone in the spine. Loss of height over time. A stooped posture. A bone that breaks much more easily than expected. When to see a doctor You might want to talk to your health care provider about osteoporosis if you went through early menopause or took corticosteroids for several months at a time, or if either of your parents had hip fractures. Request an appointment There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. From Mayo Clinic to your inbox Sign up for free and stay up to date on research advancements, health tips, current health topics, and expertise on managing health. Click here for an email preview. Email Address 1 Error Email field is required Error Include a valid email address Learn more about Mayo Clinic’s use of data. We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email. Subscribe! Thank you for subscribing! You'll soon start receiving the latest Mayo Clinic health information you requested in your inbox. Sorry something went wrong with your subscription Please, try again in a couple of minutes Retry"
Pyoderma gangrenosum,"Pyoderma gangrenosum usually starts with a small bump on the skin. It might look like a spider bite. Within days it can turn into a large and painful open sore. The sore usually appears on the legs but may develop anywhere on the body. Sometimes it appears around surgical sites. If you have two or more sores, they may grow and merge into one. When to see a doctor Talk with a healthcare professional if you develop a painful, rapidly growing skin wound. Request an appointment"
Pyloric stenosis,"Symptoms of pyloric stenosis usually appear within 3 to 6 weeks after birth. Pyloric stenosis is rare in babies older than 3 months. Symptoms include: Vomiting after feeding. The baby may vomit forcefully, ejecting breast milk or formula up to several feet away. This is known as projectile vomiting. Vomiting usually happens right after feeding. Vomiting might be mild at first and worsen over time. Constant hunger. Babies who have pyloric stenosis often want to eat soon after vomiting. Stomach contractions. Wavelike ripples across your baby's belly may be visible after feeding but before vomiting. This is a sign of the stomach muscles trying to move food out of the stomach. Dehydration. A baby may show signs of low body fluids, also called dehydration. These signs may include few wet diapers, lack of energy, dry mouth and lips, and crying without tears. Changes in stool. Since pyloric stenosis prevents food from reaching the intestines, babies with this condition might be constipated. Weight loss. The lack of nutrition can cause a baby not to gain weight or to lose weight. When to see a doctor Other conditions have symptoms like pyloric stenosis. It's important to get a prompt and accurate diagnosis. See your baby's doctor if your baby: Projectile vomits after feeding. Is hungry again immediately after vomiting. Seems less active or unusually irritable. Has few wet or soiled diapers. Isn't gaining weight or is losing weight. Request an appointment"
Pulmonary valve stenosis,
Pulmonary valve disease,"Symptoms of pulmonary valve disease depend on the specific valve condition and how much blood flow is changed or blocked. Some babies are born with pulmonary valve disease. Symptoms may be noticed soon after birth. But sometimes symptoms aren't seen until later in life. In general, pulmonary valve disease symptoms may include: Chest pain. Shortness of breath at rest or when active or lying down. Fatigue. Fainting. Babies born with pulmonary valve disease may have blue or gray skin due to low oxygen levels. Depending on skin color, these changes may be harder or easier to see. When to see a doctor Make an appointment for a health checkup if you or your child has: Shortness of breath. Chest pain. Fainting. Call 911 or your local emergency number if chest pain is sudden or can't be explained. Quick diagnosis and treatment of pulmonary valve disease can help reduce the risk of complications. Request an appointment"
Pulmonary atresia with ventricular septal defect,"Symptoms of pulmonary atresia with ventricular septal defect, also called PA-VSD, may appear at birth or very soon after. They can include: Blue or gray skin. This change may be harder or easier to see depending on skin color. Fast breathing or shortness of breath. Tiredness. Poor feeding. When to see a doctor Pulmonary atresia with ventricular septal defect, also called PA-VSD, is typically found during pregnancy or soon after birth. If your baby has symptoms of this condition after birth, call a healthcare professional right away. Request an appointment"
Pulmonary atresia,"Symptoms of pulmonary atresia may be seen soon after birth. They can include: Blue or gray skin, lips or fingernails due to low oxygen levels. Depending on the skin color, these changes may be harder or easier to see. Fast breathing or shortness of breath. Tiring easily. Not feeding well. When to see a doctor Pulmonary atresia is most often found soon after birth. If your baby has symptoms of pulmonary atresia after you've left the hospital, get medical help right away. Request an appointment"
Psoriasis,"Plaque psoriasis Enlarge image Close Plaque psoriasis Plaque psoriasis Plaque psoriasis is the most common type of psoriasis. It causes dry, raised skin patches (plaques) covered with scales. Guttate psoriasis Enlarge image Close Guttate psoriasis Guttate psoriasis Guttate psoriasis, more common in children and young adults, appears as small, water-drop-shaped spots on the trunk, arms or legs. These spots are typically covered by a fine scale. Inverse psoriasis Enlarge image Close Inverse psoriasis Inverse psoriasis Inverse psoriasis causes smooth patches of inflamed skin in the folds of the skin. It usually appears under the breasts and around the groin and buttocks. Nail psoriasis Enlarge image Close Nail psoriasis Nail psoriasis Psoriasis can affect fingernails and toenails, causing pitting, abnormal nail growth and discoloration. Pustular psoriasis Enlarge image Close Pustular psoriasis Pustular psoriasis Pustular psoriasis generally develops quickly, with pus-filled blisters appearing just hours after the skin becomes inflamed and tender. It usually appears on the palms or the soles. Erythrodermic psoriasis Enlarge image Close Erythrodermic psoriasis Erythrodermic psoriasis The least common type of psoriasis, erythrodermic psoriasis can cover the entire body with a peeling, itchy rash. Common signs and symptoms of psoriasis include: A patchy rash that varies widely in how it looks from person to person, ranging from spots of dandruff-like scaling to major eruptions over much of the body Rashes that vary in color, tending to be shades of purple with gray scale on brown or Black skin and pink or red with silver scale on white skin Small scaling spots (commonly seen in children) Dry, cracked skin that may bleed Itching, burning or soreness Cyclic rashes that flare for a few weeks or months and then subside There are several types of psoriasis, each of which varies in its signs and symptoms: Plaque psoriasis. The most common type of psoriasis, plaque psoriasis causes dry, itchy, raised skin patches (plaques) covered with scales. There may be few or many. They usually appear on the elbows, knees, lower back and scalp. The patches vary in color, depending on skin color. The affected skin might heal with temporary changes in color (post inflammatory hyperpigmentation), particularly on brown or Black skin. Nail psoriasis. Psoriasis can affect fingernails and toenails, causing pitting, abnormal nail growth and discoloration. Psoriatic nails might loosen and separate from the nail bed (onycholysis). Severe disease may cause the nail to crumble. Guttate psoriasis. Guttate psoriasis primarily affects young adults and children. It's usually triggered by a bacterial infection such as strep throat. It's marked by small, drop-shaped, scaling spots on the trunk, arms or legs. Inverse psoriasis. Inverse psoriasis mainly affects the skin folds of the groin, buttocks and breasts. It causes smooth patches of inflamed skin that worsen with friction and sweating. Fungal infections may trigger this type of psoriasis. Pustular psoriasis. Pustular psoriasis, a rare type, causes clearly defined pus-filled blisters. It can occur in widespread patches or on small areas of the palms or soles. Erythrodermic psoriasis. The least common type of psoriasis, erythrodermic psoriasis can cover the entire body with a peeling rash that can itch or burn intensely. It can be short-lived (acute) or long-term (chronic). When to see a doctor If you suspect that you may have psoriasis, see your health care provider. Also seek medical care if your condition: Becomes severe or widespread Causes you discomfort and pain Causes you concern about the appearance of your skin Doesn't improve with treatment Mayo Clinic Minute: Fingernails are clues to your health Show transcript for video Mayo Clinic Minute: Fingernails are clues to your health Vivien Willliams: Your fingernails are clues to your overall health. Many people develop lines or ridges from the cuticle to the tip. Rachel Miest, M.D., Department of Dermatology, Mayo Clinic: Those are actually completely fine and just a part of normal aging. Ms. Williams: But Dr. Rachel Miest says there are other nail changes you should not ignore that may indicate … Dr. Miest: liver problems, kidney problems, nutritional deficiencies … Ms. Williams: And other issues. Here are six examples: No. 1 is pitting. This could be a sign of psoriasis. Two is clubbing. Clubbing happens when your oxygen is low and could be a sign of lung issues. Three is spooning. It can happen if you have iron-deficient anemia or liver disease. Four is called ""a Beau's line."" It's a horizontal line that indicates a previous injury or infection. Five is nail separation. This may happen as a result of injury, infection or a medication. And six is yellowing of the nails, which may be the result of chronic bronchitis. For the Mayo Clinic News Network, I'm Vivien Williams. Request an appointment There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. From Mayo Clinic to your inbox Sign up for free and stay up to date on research advancements, health tips, current health topics, and expertise on managing health. Click here for an email preview. Email Address 1 Error Email field is required Error Include a valid email address Learn more about Mayo Clinic’s use of data. We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email. Subscribe! Thank you for subscribing! You'll soon start receiving the latest Mayo Clinic health information you requested in your inbox. Sorry something went wrong with your subscription Please, try again in a couple of minutes Retry"
Pseudogout,"Pseudogout most commonly affects the knees. Less often, it affects the wrists and ankles. When a pseudogout attack occurs, the affected joints are usually: Swollen Warm Severely painful When to see a doctor Seek medical attention if you have sudden, intense joint pain and swelling."
Pseudocholinesterase deficiency,
Prostatitis,"Symptoms of prostatitis depend on the type of condition. They may include: Pain or burning feeling when urinating, called dysuria. Trouble urinating, such as dribbling or trouble starting a stream of urine or keeping it going. Urinating often, mostly at night, called nocturia. Urgent need to urinate. Cloudy urine. Blood in the urine. Pain in the belly, groin or lower back. Pain in the area between the scrotum and rectum, called the perineum. Pain or discomfort of the penis or testicles. Painful ejaculation. Fever, chills, muscle aches and other flu-like symptoms with acute bacterial prostatitis. When to see a doctor Several conditions can cause symptoms like those of prostatitis. Get a diagnosis and treatment as soon as possible. Get care right away if you: Are not able to pass urine. Have a fever and trouble urinating or pain while urinating. Have blood in your urine. Have a lot of discomfort or pain in the pelvic area or genitals. Request an appointment There is a problem with
                                information submitted for this request. Review/update the
                                information highlighted below and resubmit the form. From Mayo Clinic to your inbox Sign up for free and stay up to date on research advancements, health tips, current health topics, and expertise on managing health. Click here for an email preview. Email Address 1 Error Email field is required Error Include a valid email address Learn more about Mayo Clinic’s use of data. We use the data you provide to deliver you the content you requested. To provide you with the most relevant and helpful information, we may combine your email and website data with other information we have about you. If you are a Mayo Clinic patient, we will only use your protected health information as outlined in our Notice of Privacy Practices . You may opt out of email communications at any time by clicking on the unsubscribe link in the email. Subscribe! Thank you for subscribing! You'll soon start receiving the latest Mayo Clinic health information you requested in your inbox. Sorry something went wrong with your subscription Please, try again in a couple of minutes Retry"
Prolactinoma,
Progressive supranuclear palsy,"Symptoms of progressive supranuclear palsy include: A loss of balance while walking. A tendency to fall backward can occur very early in the disease. An inability to aim your eyes properly. People with progressive supranuclear palsy may not be able to look downward. Or they may experience blurring and double vision. Not being able to focus the eyes can make some people spill food. They also may appear disinterested in conversation because of lack of eye contact. Additional symptoms of progressive supranuclear palsy vary and may mimic those of Parkinson's disease and dementia. Symptoms get worse over time and may include: Stiffness, especially of the neck, and awkward movements. Falling, especially falling backward. Slow or slurred speech. Trouble swallowing, which may cause gagging or choking. Being sensitive to bright light. Trouble with sleep. Loss of interest in pleasurable activities. Impulsive behavior, or laughing or crying for no reason. Trouble with reasoning, problem-solving and decision-making. Depression and anxiety. A surprised or frightened facial expression, resulting from rigid facial muscles. Dizziness. When to see a doctor Make an appointment with your healthcare professional if you experience any of the symptoms listed above. Request an appointment"
Proctitis,
Primary immunodeficiency,
Primary biliary cholangitis,"More than half of people with primary biliary cholangitis do not have any noticeable symptoms when diagnosed. The disease may be diagnosed when blood tests are done for other reasons, such as routine testing. Symptoms eventually develop over the next 5 to 20 years. Those who do have symptoms at diagnosis typically have poorer outcomes. Common early symptoms include: Fatigue. Itchy skin. Later signs and symptoms may include: Yellowing of the skin and eyes, called jaundice. Dry eyes and mouth. Pain in the upper right abdomen. Swelling of the spleen, called splenomegaly. Bone, muscle or joint pain. Swollen feet and ankles. Buildup of fluid in the abdomen due to liver failure, called ascites. Fatty deposits, called xanthomas, on the skin around the eyes, eyelids or in the creases of the palms, soles, elbows or knees. Darkening of the skin that's not related to sun exposure, called hyperpigmentation. Weak and brittle bones, called osteoporosis, which can lead to fractures. High cholesterol. Diarrhea that may include greasy stools, called steatorrhea. Underactive thyroid, called hypothyroidism. Weight loss. Request an appointment"
